BusNumber,StopNameKorean,StopOrder,Latitude,Longitude
207(기본),양덕차고지,0,36.077248,129.401686
207(기본),,0,36.076948,129.401875
207(기본),,0,36.076822,129.402143
207(기본),양덕한마음체육관,1,36.078189,129.40639
207(기본),북부장애인복지회관,2,36.07902,129.409196
207(기본),,2,36.079857,129.411635
207(기본),장량하수처리장,3,36.082462,129.410095
207(기본),포항대학교,4,36.084552,129.408726
207(기본),,4,36.086497,129.407483
207(기본),삼성쉐르빌,5,36.0865,129.405079
207(기본),,5,36.086398,129.4018
207(기본),풍림아이원,6,36.084969,129.401663
207(기본),,6,36.082066,129.401754
207(기본),농협하나로클럽,7,36.081899,129.39859
207(기본),,7,36.08191,129.396783
207(기본),농협 양덕지점,8,36.080083,129.396745
207(기본),,8,36.076391,129.396759
207(기본),청소년수련관,9,36.073502,129.397843
207(기본),,9,36.072693,129.398173
207(기본),환호여중,10,36.071182,129.399063
207(기본),,10,36.07065,129.399275
207(기본),,10,36.069967,129.398969
207(기본),,10,36.069759,129.396983
207(기본),라메르웨딩컨벤션,11,36.069702,129.396504
207(기본),환호해맞이그린빌,12,36.068843,129.392355
207(기본),,12,36.068455,129.390553
207(기본),,12,36.068052,129.389775
207(기본),,12,36.067125,129.388473
207(기본),노인복지회관,13,36.066924,129.386482
207(기본),,13,36.066698,129.385915
207(기본),설머리물회지구,14,36.065774,129.384722
207(기본),동부초등학교,15,36.062191,129.380719
207(기본),,15,36.060936,129.379342
207(기본),두호동행정복지센터,16,36.06034,129.378882
207(기본),롯데아파트,17,36.057957,129.377506
207(기본),우방비치타운,18,36.054774,129.376284
207(기본),,18,36.054215,129.376075
207(기본),,18,36.05362,129.375565
207(기본),영일대 해수욕장,19,36.053208,129.374828
207(기본),,19,36.052729,129.373743
207(기본),,19,36.051711,129.372065
207(기본),포항세관,20,36.051393,129.371833
207(기본),,20,36.051262,129.371773
207(기본),롯데백화점,21,36.048811,129.370957
207(기본),,21,36.048451,129.370857
207(기본),북부시장/채움병원,22,36.04604,129.369426
207(기본),,22,36.044301,129.368341
207(기본),,22,36.043978,129.368045
207(기본),국민건강보험공단,23,36.041924,129.367056
207(기본),중앙상가,24,36.037419,129.365216
207(기본),,24,36.036314,129.364812
207(기본),죽도시장,25,36.033661,129.365614
207(기본),,25,36.032774,129.365753
207(기본),홈플러스,26,36.031299,129.364658
207(기본),죽도파출소,27,36.028436,129.362401
207(기본),GS슈퍼마켓,28,36.025677,129.360192
207(기본),고용복지플러스센터,29,36.023018,129.358069
207(기본),산업은행,30,36.017696,129.353862
207(기본),교보생명,31,36.015692,129.352214
207(기본),,31,36.013798,129.350675
207(기본),,31,36.01368,129.350389
207(기본),시외버스터미널,32,36.013409,129.350135
207(기본),,32,36.012888,129.349691
207(기본),,32,36.012518,129.349732
207(기본),,32,36.010299,129.347992
207(기본),대잠사거리,33,36.011389,129.34449
207(기본),,33,36.012875,129.341944
207(기본),포항성모병원,34,36.010577,129.339612
207(기본),,34,36.010249,129.339103
207(기본),,34,36.010135,129.33872
207(기본),,34,36.010163,129.3382
207(기본),,34,36.010562,129.337742
207(기본),,34,36.012815,129.336843
207(기본),영일대입구,35,36.012892,129.336525
207(기본),,35,36.013106,129.335123
207(기본),,35,36.013117,129.334208
207(기본),영일대,36,36.012975,129.334115
207(기본),,36,36.011557,129.333658
207(기본),효자아트홀,37,36.01173,129.332994
207(기본),,37,36.011772,129.332263
207(기본),,37,36.011708,129.331921
207(기본),효곡동행정복지센터,38,36.010473,129.328355
207(기본),,38,36.010258,129.327769
207(기본),생명공학연구소,39,36.012563,129.326489
207(기본),,39,36.014628,129.325292
207(기본),포스텍,40,36.015169,129.325127
207(기본),,40,36.016292,129.324806
207(기본),포항제철공고,41,36.021079,129.325287
207(기본),,41,36.025591,129.325708
207(기본),,41,36.025727,129.326021
207(기본),,41,36.025983,129.32638
207(기본),포스코 교육재단,42,36.026276,129.326635
207(기본),,42,36.026634,129.32681
207(기본),,42,36.026975,129.326891
207(기본),,42,36.02753,129.326811
207(기본),,42,36.029278,129.326004
207(기본),포항제철고등학교,43,36.029999,129.326403
207(기본),,43,36.03303,129.328296
207(기본),,43,36.033393,129.32745
207(기본),,43,36.03304,129.326314
207(기본),효자그린아파트,44,36.032375,129.32588
207(기본),,44,36.029826,129.324224
207(기본),포항제철유치원,45,36.029636,129.323545
207(기본),,45,36.029491,129.323255
207(기본),현대그린아파트,46,36.030903,129.318607
207(기본),포항테크노파크,47,36.03152,129.315592
207(기본),,47,36.031894,129.315205
207(기본),,47,36.031202,129.313414
207(기본),,47,36.030836,129.313249
207(기본),,47,36.028703,129.313232
207(기본),,47,36.028472,129.313419
207(기본),LG빌라,48,36.028164,129.314298
207(기본),LG빌라입구,49,36.027269,129.31723
207(기본),산책로,50,36.026208,129.320713
207(기본),,50,36.025714,129.322376
207(기본),,50,36.025707,129.322696
207(기본),,50,36.025881,129.323425
207(기본),,50,36.02553,129.324396
207(기본),,50,36.025472,129.325371
207(기본),교수아파트,51,36.022743,129.325194
207(기본),포항제철공고,52,36.019465,129.324876
207(기본),,52,36.017964,129.324778
207(기본),,52,36.016268,129.324557
207(기본),포스텍,53,36.016091,129.324563
207(기본),,53,36.01551,129.324697
207(기본),,53,36.015322,129.324796
207(기본),,53,36.014702,129.32497
207(기본),생명공학연구소,54,36.011735,129.326624
207(기본),,54,36.011529,129.326719
207(기본),,54,36.010012,129.327642
207(기본),효곡동행정복지센터,55,36.010241,129.328481
207(기본),,55,36.011264,129.331203
207(기본),,55,36.011482,129.33189
207(기본),,55,36.01154,129.33232
207(기본),효자아트홀,56,36.011527,129.332519
207(기본),,56,36.011264,129.334131
207(기본),효자웰빙아울렛,57,36.011206,129.335607
207(기본),,57,36.011197,129.335878
207(기본),,57,36.011346,129.336786
207(기본),,57,36.011353,129.337004
207(기본),,57,36.011209,129.337205
207(기본),,57,36.01039,129.33752
207(기본),,57,36.010091,129.337782
207(기본),,57,36.009965,129.338256
207(기본),,57,36.010062,129.339242
207(기본),,57,36.010273,129.339648
207(기본),포항성모병원,58,36.011145,129.340524
207(기본),,58,36.012464,129.341762
207(기본),,58,36.012332,129.342087
207(기본),,58,36.011563,129.34345
207(기본),대잠사거리,59,36.011017,129.34451
207(기본),,59,36.010612,129.345417
207(기본),,59,36.010178,129.346582
207(기본),,59,36.009993,129.348038
207(기본),시외버스터미널,60,36.013273,129.350668
207(기본),교보생명,61,36.015595,129.352648
207(기본),산업은행,62,36.018107,129.354529
207(기본),고용복지플러스센터,63,36.022987,129.358409
207(기본),GS슈퍼마켓,64,36.025657,129.360522
207(기본),,64,36.027842,129.362203
207(기본),,64,36.027921,129.362355
207(기본),죽도파출소,65,36.02832,129.362648
207(기본),홈플러스(오거리),66,36.030979,129.364774
207(기본),,66,36.032652,129.366114
207(기본),죽도시장,67,36.035694,129.365236
207(기본),,67,36.036301,129.36505
207(기본),육거리,68,36.039702,129.366432
207(기본),북구청,69,36.043574,129.368115
207(기본),,69,36.043796,129.368203
207(기본),,69,36.044063,129.368465
207(기본),북부시장/채움병원,70,36.045839,129.369553
207(기본),,70,36.048406,129.371073
207(기본),롯데백화점,71,36.049595,129.37143
207(기본),,71,36.051116,129.371929
207(기본),,71,36.05146,129.372198
207(기본),포항세관,72,36.052196,129.373372
207(기본),,72,36.052532,129.373897
207(기본),,72,36.053265,129.375593
207(기본),영일대 해수욕장,73,36.053985,129.376316
207(기본),,73,36.054217,129.376419
207(기본),롯데아파트,74,36.057092,129.377508
207(기본),,74,36.057749,129.377752
207(기본),,74,36.06065,129.379461
